Nombre_Restaurante,Rating,Cantidad_Reseñas,Precio,Tipo_Cocina,Resena
$1.50 Fresh Pizza,4.3,341,Bajo,"pizza, fast food",If you are in New York make sure to stop... | Nice cheep pizza
BOOM,4.3,778,Muy Alto,"bar, contemporary","Don't miss this bar, this is simply incredible! The view on Manhattan is... | fantastic views"
BXL Cafe,4.2,600,Medio,belgian,Need a good restaurant to go to before seeing Beautiful in NY. Was not... | Unexpectedly Good!
Babbalucci,4.4,117,Medio,"italian, bar, pizza, european, pub","The restaurant is located in the heart of Harlem, on Lennox Ave. near 125th... | Good Pizza...Fast"
Babbo,4.1,1993,Muy Alto,italian,Tasting menu | Our first visit to Babbo a few years ago...
Baekjeong NYC,4.3,268,Medio,"barbecue, asian, korean",Meat is excellent quality. The combo beef and pork is delicious. Love the side... | Fun way to celebrate 21st birthday
Bagel Express,4.4,228,Bajo,"american, cafe, fast food","The bagels were the best we’ve ever had. Soft, flavorful, and large is how I’d... | ... eggs, french toast, and pancakes."
Bagels & Schmear,4.7,304,Bajo,"american, cafe",The picture on the counter of the “house... | Solid bagels
Balaboosta Nyc,4.4,289,Medio,israeli,"We ordered the hummus with mushroom and onion, eggplant shakshouka and the qu... | ... other things, lamb and calamari."
Balade,4.2,181,Medio,"lebanese, middle eastern","All the meats were fantastic but the lamb cast a bigger shadow than Peyton an... | We ordered the Hummus lahme, which was a..."
Balthazar,4.3,6663,Muy Alto,"french, european, soups",Incredible French food ESP the French Onion Soup | ... hash and poached eggs and the Balth...
Balvanera,4.5,97,Medio,"steakhouse, latin, argentinean, south american",Best Argentine Restaurant in New York – Balvanera | Exceptional
Banc Cafe,4.5,196,Medio,"american, bar",In short... I'd recommend making a beelive for Banc if you're in town - I will... | Amazing dinner and cocktails in New York!!
Bar Boulud,3.9,951,Muy Alto,french,"... because a few NYC food rec articles recommended this place for steak frites. | The corn crab soup, the bouillabaisse,..."
Bar Italia,4.2,295,Medio,"italian, mediterranean",But most likely necessary to have a restaurant right on Madison Avenue. It was... | Disappointing
Bar Six,4.2,127,Medio,bar,"I keep thinking about this place even though I am now home from my long weekend... | Great bartender, nice-looking bar and r..."
BarDough,4.8,62,Medio,"italian, pizza",The service is amazing! Very welcoming and knowledgeable. The pizza is unique... | Good Greek salad as well!
Barawine,4.2,166,Medio,"french, wine bar",My daughter and I stayed on 120th Street near Malcolm X and found this wine... | The risotto rocks!
Barbaresco,4.1,163,Medio,italian,We stopped to eat at Barbaresco because it was within walking distance of our... | Good food
Barbetta,4.0,581,Muy Alto,italian,"The service in addition was so welcoming and made us feel like we where guests... | ... quite nice swordfish, grilled rabbi..."
Barbounia,4.1,422,Medio,mediterranean,"The service was wonderful and the food was delicious. A must for a nice night... | ... and the beet hummus), and I ordered..."
Bareburger - Hell's Kitchen,4.5,1572,Medio,"american, bar, healthy","-So Cal burger: my burger is organic turkey with avocado, mayo, onions... | Ask for Jacob!! Woooooooohooooooooooooo"
Barn Joo,4.1,182,Medio,"bar, asian, korean","The place was pretty packed around 5pm due to Happy Hour. The atmosphere and... | If you're looking for a fun, cool place..."
Barnea Bistro,3.6,25,Muy Alto,"french, contemporary",I had the duck breast which was really good but the highlight was the amazing... | nice addition to the east side kosher...
Barney Greengrass,4.4,589,Medio,"deli, eastern european, israeli",Authentic but priced for tourists | Good
Barolo East,4.5,91,Medio,italian,"... good and well made, the appetizers were great as were the pasta selections. | Barolo East with a 5 stars"
Bartolo,5.0,1,No disponible,spanish,"You Must Order The Shrimp, Egg & Potato Dish"
Basta Pasta,4.3,287,Medio,"italian, japanese fusion",Spaghetti con Prosciutto e Parmigiano! This dish served in a half wheel of... | Tasty pasta
Bathtub Gin,4.3,425,Medio,"american, bar, pub","Truffle Agnolotti, Royale with Cheese, and Oysters Rockefeller. | Burlesque Show was really great!"
Baz Bagel,4.4,304,Bajo,"american, cafe",Great place for breakfast | NY bagel stop
Bea,4.2,373,Medio,american,We were a tad hungry after a show so stopped into BEA for a small plate and... | Good for pre-theatre dinner
Beauty & Essex,4.3,2299,Muy Alto,american,Enjoyable Evening | Great food but service not so.
Becco,4.0,4506,Medio,italian,... polenta Bisteca di Manzo Dessert Cannoli We were very pleased with our me... | ... Gorgonzola salad and the meatballs.
Bedford & Co.,4.1,186,Medio,american,I was Staying at the Renwick hotel attached to the restaurant and just happened... | I HAD A TRULY WONDERFUL EXPERIENCE
Beer Culture,4.5,204,Medio,"american, bar, pub",Bartender was helpful and joked around with the kid in our party. Worth seeking... | Best original craft beer bar near Times Square
Bella Blu,4.2,295,Medio,italian,Back at Bella blu. And not disappointed. Lovely evening as usual Was there with... | VERY BUSY. QUITE GOOD. GREAT ATMOSPHERE
Bemelmans Bar,4.6,525,Muy Alto,"american, bar","We enjoyed several cocktails at the bar, but be prepare to pay for the... | Something every New Yorker should do on..."
Benares Indian Restaurant,4.2,160,Medio,"indian, asian",This restaurant is an excellent gastronomic corner and very close to the World... | Indian food with very mild intensity
Bengal Tiger Indian Food,4.4,581,Medio,indian,"Affordable Food near crowded street full of Indian Places | Great food, the Samosa was amazing as was..."
Benihana,3.4,811,Medio,"japanese, steakhouse, sushi, asian",You need to make a reservation before. I stayed at a table for 8 people. At the... | A Classic That Lost It's Spark
Benito One,4.2,1546,Medio,italian,"Very good pasta, Salvatore, the owner/management is very clear/helpful, a typ... | Good not great"
Benjamin Steakhouse,4.3,2549,Bajo,"steakhouse, seafood","... had half a lobster, some crab, a jumbo shrimp, oyster, and littleneck clam. | But the steak, well, if you like steak..."
Benjamin Steakhouse Prime,4.4,340,Muy Alto,"steakhouse, seafood",First class steak with excellent wine list | We had the opportunity to dine at...
Berimbau Brazilian Kitchen,4.3,142,Medio,"brazilian, latin",The feijoada was tasty and large; the picanha with egg was yummy and abundant... | Authentic Brazilian Food
Beyond Sushi,4.6,250,Medio,"fusion, healthy, japanese fusion",My wife and I had the: spicy mang sushi... | New experience
Beyond Sushi - Vegan Restaurant,4.7,116,Medio,"bar, pub, fusion, healthy, japanese fusion","we had tuna poke bowl, charred avo roll... | Amazing food, you forget it’s vegan"
Bill's Bar & Burger,4.3,1769,Medio,"american, bar",... which were a tower of sliders on top of onion rings and fries to share. | Lunch at the bar with Sheena
Bill's Supper Club,4.3,147,Medio,american,Bill’s townhouse is located midtown east side of manhattan. Great restaurant... | Could be superb but very good
Bistango at the Kimberly Hotel,4.3,265,Medio,"italian, wine bar",The hummus and bread to start was a nice touch. | We ordered a flatbread and a pasta dish...
Bistro Milano,4.2,632,Medio,italian,But what an experience!!!! Great service and beautiful food 😊 Ben-Hur Ranieri... | Enjoyable meal
Bistro Vendome,4.3,138,Medio,french,"I especially enjoyed the escargot, vichyssoise, duck confit, raspberry gratin... | ... a beautifully prepared duck cassoulet."
Black Iron Burger,4.5,1257,Medio,"american, bar","I ordered the turkey burger with Swiss,... | Great vibes. Good service. Would absolutely come back for another game."
Black Tap,4.4,880,Medio,"american, bar","Great Burger, But Pricey | Classic American Burgers that taste out of the world!"
Blackbarn,4.2,280,Medio,"american, international, contemporary","The food was good, the drinks were strong, but the noise level was too high to... | Nice place for dining"
Blackironburger & Bar,4.6,73,Medio,"american, bar","Proper American burger, excellent meat quality cooked to perfection.Very good... | ... perfect and onion rings are on poin..."
Blackwell's Pub and Restaurant,4.3,154,Medio,"american, irish, bar, pub",The food was delicous though and bartender was personable. | Very Quiet During Covid - But A Comfortable Place For a Good Meal
Blarney Rock Pub,4.2,223,Medio,"american, irish, bar, pub","The staff are very welcoming, the food is great and the atmosphere was... | Cozy and with good food just steps from The Garden"
Bleecker Street Pizza,4.6,1994,Bajo,"italian, pizza, fast food",We visited Bleecker Street Pizza and it... | Best Pizza in NYC
Blind Tiger Ale House,4.5,311,Medio,"american, bar, pub",Good beers. Great gratis cheese from Murrays on Bleaker. The place is always... | Brilliant old pub with atmosphere.
Blue Dog Cookhouse & Bar,4.4,538,Medio,american,I had Huevos ranchero and my wife had Croque Madame. | Brunch most of the day
Blue Fin,4.2,2506,Medio,"steakhouse, seafood, sushi","We had excellent wedge salad, crab cakes and sea bass using recommendations f... | Surf and turf"
Blue Hill,4.4,718,Muy Alto,"american, contemporary","I also cannot think of this meal without smiling. Well done, blue hill! Thank... | Good Clean Food in a Relaxing Setting"
Blue Maiz,4.6,63,Bajo,"mexican, latin","The concept is similar to Chipotle, but the taste and quality you can't... | Amazing"
Blue Note,3.9,1474,Medio,"american, bar",Heard John Pizzarelli last evening at the Blue Note Jazz Club. Have know of the... | Too Close For Comfort
Blue Ribbon Brasserie,4.4,396,Medio,"american, seafood, international","Good outdoor, COVID setting, too. A gem... | Good, but We Expected More"
Blue Ribbon Sushi,4.5,1079,Medio,sushi,Spicy Scallop Roll and Salmon Salmon Roe Roll! | Good standard fancy sushi spot!
Blue Ribbon Sushi Bar & Grill - Columbus Circle,4.3,374,Medio,"japanese, sushi, grill",The pork dumplings were very flavorful the sushi and rolls so fresh. Really... | Fresh sushi at Columbus Circle
Blue Seafood Bar,4.4,111,Muy Alto,"italian, seafood, mediterranean","We had Haloumi, Fritto misto and Buratta and prosciutto pizza. | ... Bisque over pasta and the Clam Ling..."
Bluestone Lane,4.4,162,Medio,"cafe, australian","Firstly the service was really good, the table sitting outside in the sun was... | A DUMBO brunch"
Bobby Van's 230 Park,4.1,260,Muy Alto,"american, steakhouse, seafood, grill",Thought we’d try Bobby Vans and dropped in without reservations. We were seated... | We shared shrimp & cooked oysters to st...
Bobby Van's Steakhouse - 50th Street,4.1,718,Muy Alto,"steakhouse, seafood","... onion soup was great, l had the lobster ravioli which lacked in flavour, ... | ... salads, pizzas, pasta, and meat."
Bobo,4.2,210,Muy Alto,"french, european, gastropub","Unfortunately, two of the dishes, the risotto and the pasta with meat sauce,... | Steak NY style was great. What a fabulous..."
Bocado Wine Bar & Restaurant,4.2,226,Medio,"american, bar, contemporary","The staff brilliant, and this person should be promoted 100% she has got this... | I opted for the Asian salad, which had..."
Bocca di Bacco - Hell's Kitchen,4.3,718,Medio,italian,Food was absolutely delicious...try the meatballs. | ... and the homemade pasta for our meal...
Bodega Negra,4.1,229,Medio,"mexican, latin","Bodega negra is a must go to restaurant in the chelsea/meat packing district... | Fun, Smaller Restaurant and Bar"
Bodhi Kosher Vegan Sushi & Dim Sum Restaurant,4.4,98,Medio,"chinese, asian","I ordered Lamb with vegetables and garlic, served with white rice and wonton... | Nicest Chinese Vegan"
Bodrum,4.2,180,Medio,"pizza, mediterranean, turkish","The food is classic Mediterranean, prepared to perfection, and reasonably... | Lovely local Turkish restaurant"
Bombay Grill House,4.4,140,Bajo,"american, indian","Very authentic food and probably the best Biryani I’ve had. Great service too... | Fiyah deh a muss-muss (moos-moos) tail, in tink a cool breeze"
Bond 45 Italian Kitchen & Bar,4.0,1643,Medio,italian,We were staying in NYC for the weekend and at the recommendation of the... | The pasta carbonara was quite bland and...
Bond Street,4.4,385,Muy Alto,"japanese, seafood, sushi, asian","Amazing cocktails, vibes, high quality sushi and Japanese dishes. | ... Black Sea Bass, Spicy Tuna rolls, S..."
Boqueria Flatiron,4.2,445,Medio,"spanish, basque","Everything we ordered was oh-so delicious, and as good as any tapas we’ve had... | Spanish tapas and raciones in Flatiron District"
Boqueria Soho,4.4,665,Medio,spanish,Worth a stop | Lovely brunch
Boqueria UES,4.2,167,Medio,"spanish, wine bar",Service was excellent. The people at the next table were friendly. We are glad... | Nice spot
Boqueria W40th,4.2,237,Medio,spanish,"We ordered ensalada vasca with chicken, patatas bravas, and salmon catalana. | Unique flavors and imaginative..."
Boucherie Union Square,4.8,1844,Muy Alto,"french, steakhouse",I met a friend for lunch. There is a nice outdoor seating space and the decor... | ... had the filet mignon cooked perfect...
Boucherie West Village,4.8,2401,Medio,french,Salmon was perfectly tender and flaky. | Amazing Steak Frites!
Boulud Sud,4.4,936,Muy Alto,"mediterranean, healthy",Chicken Tagine reigns supreme | Excellent dinner. Food and service were terrific.
Bowery Meat Company,4.1,213,Muy Alto,"american, steakhouse","There wasn't enough room for our party. HOWEVER, Bowery made up for this by... | Good food and casual atmosphere"
Brass Monkey,4.1,246,Medio,"american, bar, pub",place was totally packed but awesome music and drinks were great. Super nice... | Great music
Bread & Butter,4.0,179,Bajo,american,"Grabbed a coffee with steamed/foamed almond milk and I was good to go. I... | Clean, Casual and Relatively Inexpensive"
Briciola,4.3,308,Medio,"italian, wine bar",I had the shrimp to start and the lobster ravioli as a main course. | We enjoy our mother’s day dinner with a...
Broadway Deli and Cafe,4.1,118,Bajo,"american, cafe",A great place for a quick and reliable breakfast and lunch. | We were staying four nights next door in...
Brooklyn Chop House,3.4,61,Muy Alto,"steakhouse, seafood, beijing cuisine",Started off the night by trying a variety of appetizers and dumplings since... | Lobster Mac N Cheese was great!
Brooklyn Chop House - Times Square,3.6,36,Muy Alto,"steakhouse, seafood, beijing cuisine",Not a checkered tablecloth steakhouse | Above and Beyond
Brooklyn Diner,4.1,3048,Medio,american,... to Tony Bennett’s French toast. | Famous for a reason
Broome Street Bar,4.1,342,Medio,"american, bar, pub",Good food in Soho but not at Soho prices. A relaxed ‘sit at the bar and chat... | ... I had ube burger and a bun had funn...
Brunetti Pizza,4.4,135,Medio,"italian, brew pub, pizza, wine bar",We shared a very good meatball pizza ($23) and artichoke salad ($21). | The other pizza was a sausage one which...
Bryant Park Cafe,3.9,293,Medio,"american, bar, cafe, pub","Located in Bryant Park, the Bryant Park Cafe in midtown is run by the Bryant... | Server Lee was attentive, with a wonder..."
Bryant Park Grill,4.0,1933,Medio,american,"We ordered two salads & the mini tuna tacos, all to share. | Bryant Park is a magical place. Next to..."
Bstro 38,4.4,306,Medio,"french, international, healthy, gastropub",If you are traveling or hanging out this... | A good find
Bua Thai Ramen & Robata Grill,4.8,919,Medio,thai,"The Thai iced tea was refreshing and perfectly balanced—not too sweet, just r... | Ramen With family ❤️"
Bubba Gump Shrimp Co.,4.2,15062,Medio,"american, seafood",The Time Square location offers a perfect people watching spot. I have never... | Early Birthday Experience
