station_complex_id,station_complex,hour,Pasajeros mensual,estacion_latitude,estacion_longitude
152,"135 St (C,B)",14,6638.0,40.817894,-73.94765
152,"135 St (C,B)",15,6611.0,40.817894,-73.94765
152,"135 St (C,B)",16,6200.0,40.817894,-73.94765
152,"135 St (C,B)",17,6826.0,40.817894,-73.94765
152,"135 St (C,B)",18,4980.0,40.817894,-73.94765
152,"135 St (C,B)",19,2563.0,40.817894,-73.94765000000001
152,"135 St (C,B)",20,1073.0,40.817894,-73.94765
152,"135 St (C,B)",21,628.0,40.817894,-73.94765
153,"125 St (A,C,B,D)",10,17173.0,40.811108,-73.95235
153,"125 St (A,C,B,D)",11,19211.0,40.811108,-73.95235
153,"125 St (A,C,B,D)",12,21273.0,40.811108,-73.95235
153,"125 St (A,C,B,D)",13,19483.0,40.811108,-73.95235
153,"125 St (A,C,B,D)",14,27668.0,40.811108,-73.95235
153,"125 St (A,C,B,D)",15,36039.0,40.811108,-73.95235
153,"125 St (A,C,B,D)",16,40453.0,40.811108,-73.95235
153,"125 St (A,C,B,D)",17,26858.0,40.811108,-73.95235
153,"125 St (A,C,B,D)",18,34250.0,40.811108,-73.95235
153,"125 St (A,C,B,D)",19,20832.0,40.811108,-73.95235
153,"125 St (A,C,B,D)",20,13833.0,40.811108,-73.95235
153,"125 St (A,C,B,D)",21,12104.0,40.811108,-73.95235
154,"116 St (C,B)",10,3541.0,40.805084,-73.95488
154,"116 St (C,B)",11,4001.0,40.805084,-73.95488
154,"116 St (C,B)",12,4582.0,40.805084,-73.95488
154,"116 St (C,B)",13,4024.0,40.805084,-73.95488
154,"116 St (C,B)",14,4427.0,40.805084,-73.95488
154,"116 St (C,B)",15,4928.0,40.805084,-73.95488
154,"116 St (C,B)",16,5510.0,40.805084,-73.95488
154,"116 St (C,B)",17,6027.0,40.805084,-73.95488
154,"116 St (C,B)",18,5691.0,40.805084,-73.95488
154,"116 St (C,B)",19,3389.0,40.80508400000001,-73.95488
154,"116 St (C,B)",20,1813.0,40.805084,-73.95488
154,"116 St (C,B)",21,1484.0,40.805084,-73.95488
155,"Cathedral Pkwy (110 St) (C,B)",10,5856.0,40.800602,-73.95816
155,"Cathedral Pkwy (110 St) (C,B)",11,6530.0,40.800602,-73.95816
155,"Cathedral Pkwy (110 St) (C,B)",12,6216.0,40.800602,-73.95816
155,"Cathedral Pkwy (110 St) (C,B)",13,6096.0,40.800602,-73.95816
155,"Cathedral Pkwy (110 St) (C,B)",14,6332.0,40.800602,-73.95816
155,"Cathedral Pkwy (110 St) (C,B)",15,8757.0,40.800602,-73.95816
155,"Cathedral Pkwy (110 St) (C,B)",16,7710.0,40.800602,-73.95816
155,"Cathedral Pkwy (110 St) (C,B)",17,9054.0,40.800602,-73.95816
155,"Cathedral Pkwy (110 St) (C,B)",18,8130.0,40.800602,-73.95816
155,"Cathedral Pkwy (110 St) (C,B)",19,5791.0,40.800602,-73.95816
155,"Cathedral Pkwy (110 St) (C,B)",20,3183.0,40.800602,-73.95816
155,"Cathedral Pkwy (110 St) (C,B)",21,2439.0,40.800602,-73.95816
156,"103 St (C,B)",10,3090.0,40.796093,-73.96146
156,"103 St (C,B)",11,2974.0,40.796093,-73.96146
156,"103 St (C,B)",12,3236.0,40.796093,-73.96146
156,"103 St (C,B)",13,3256.0,40.79609299999999,-73.96146
156,"103 St (C,B)",14,3225.0,40.796093,-73.96146
156,"103 St (C,B)",15,3941.0,40.796093,-73.96146
156,"103 St (C,B)",16,4639.0,40.796093,-73.96146
156,"103 St (C,B)",17,4746.0,40.796093,-73.96146
156,"103 St (C,B)",18,4425.0,40.796093,-73.96146
156,"103 St (C,B)",19,2596.0,40.796093,-73.96146
156,"103 St (C,B)",20,1706.0,40.796093,-73.96146
156,"103 St (C,B)",21,1109.0,40.796093,-73.96146
157,"96 St (C,B)",10,6305.0,40.79164,-73.9647
157,"96 St (C,B)",11,5761.0,40.79164,-73.9647
157,"96 St (C,B)",12,6605.0,40.79164,-73.9647
157,"96 St (C,B)",13,7336.0,40.79164,-73.9647
157,"96 St (C,B)",14,8952.0,40.79164,-73.9647
157,"96 St (C,B)",15,16599.0,40.79164,-73.9647
157,"96 St (C,B)",16,18532.0,40.79164,-73.9647
157,"96 St (C,B)",17,19957.0,40.79164,-73.9647
157,"96 St (C,B)",18,14590.0,40.79164,-73.9647
157,"96 St (C,B)",19,7178.0,40.79164,-73.9647
157,"96 St (C,B)",20,3583.0,40.79164,-73.9647
157,"96 St (C,B)",21,1923.0,40.79164,-73.9647
158,"86 St (C,B)",10,5815.0,40.78587,-73.96892
158,"86 St (C,B)",11,5661.0,40.78587,-73.96892
158,"86 St (C,B)",12,7391.0,40.78587,-73.96892
158,"86 St (C,B)",13,9146.0,40.78587,-73.96892
158,"86 St (C,B)",14,11469.0,40.78587,-73.96892
158,"86 St (C,B)",15,19885.0,40.78587,-73.96892
158,"86 St (C,B)",16,23574.0,40.78587,-73.96892
158,"86 St (C,B)",17,21648.0,40.78587,-73.96892
158,"86 St (C,B)",18,18419.0,40.78587,-73.96891999999998
158,"86 St (C,B)",19,8708.0,40.78587,-73.96892
158,"86 St (C,B)",20,5126.0,40.78587,-73.96892
158,"86 St (C,B)",21,4070.0,40.78587,-73.96892
159,"81 St-Museum of Natural History (C,B)",10,5373.0,40.781433,-73.972145
159,"81 St-Museum of Natural History (C,B)",11,7838.0,40.781433,-73.972145
159,"81 St-Museum of Natural History (C,B)",12,14701.0,40.781433,-73.972145
159,"81 St-Museum of Natural History (C,B)",13,19253.0,40.781433,-73.972145
159,"81 St-Museum of Natural History (C,B)",14,23514.0,40.781433,-73.972145
159,"81 St-Museum of Natural History (C,B)",15,30764.0,40.781433,-73.972145
159,"81 St-Museum of Natural History (C,B)",16,32391.0,40.781433,-73.972145
159,"81 St-Museum of Natural History (C,B)",17,27285.0,40.781433,-73.972145
159,"81 St-Museum of Natural History (C,B)",18,18353.0,40.781433,-73.972145
159,"81 St-Museum of Natural History (C,B)",19,9300.0,40.781433,-73.972145
159,"81 St-Museum of Natural History (C,B)",20,5656.0,40.781433,-73.972145
159,"81 St-Museum of Natural History (C,B)",21,3848.0,40.781433,-73.972145
16,"8 St-NYU (R,W)",10,8605.0,40.730328,-73.99263
16,"8 St-NYU (R,W)",11,8939.0,40.730328,-73.99263
16,"8 St-NYU (R,W)",12,12785.0,40.730328,-73.99263
16,"8 St-NYU (R,W)",13,15348.0,40.730328,-73.99263
16,"8 St-NYU (R,W)",14,16475.0,40.730328,-73.99263
16,"8 St-NYU (R,W)",15,23248.0,40.730328,-73.99263000000002
16,"8 St-NYU (R,W)",16,27770.0,40.730328,-73.99263
16,"8 St-NYU (R,W)",17,18466.0,40.730328,-73.99263
16,"8 St-NYU (R,W)",18,15517.0,40.730328,-73.99263
16,"8 St-NYU (R,W)",19,20496.0,40.730328,-73.99263
16,"8 St-NYU (R,W)",20,20661.0,40.730328,-73.99263
16,"8 St-NYU (R,W)",21,16432.0,40.730328,-73.99263
160,"72 St (C,B)",10,6714.0,40.775593,-73.97641
160,"72 St (C,B)",11,8659.0,40.775593,-73.97641
160,"72 St (C,B)",12,10733.0,40.775593,-73.97641
160,"72 St (C,B)",13,13343.0,40.775593,-73.97641
160,"72 St (C,B)",14,16330.0,40.77559300000001,-73.97641
160,"72 St (C,B)",15,21197.0,40.775593,-73.97641
160,"72 St (C,B)",16,21379.0,40.775593,-73.97641
160,"72 St (C,B)",17,24634.0,40.775593,-73.97641
160,"72 St (C,B)",18,20078.0,40.775593,-73.97641
160,"72 St (C,B)",19,10337.0,40.775593,-73.97641
160,"72 St (C,B)",20,6051.0,40.775593,-73.97641
160,"72 St (C,B)",21,4932.0,40.775593,-73.97641
162,"50 St (C,E)",10,18654.0,40.762455,-73.985985
162,"50 St (C,E)",11,16471.0,40.762455,-73.985985
162,"50 St (C,E)",12,16575.0,40.762455,-73.985985
162,"50 St (C,E)",13,17780.0,40.762455,-73.985985
162,"50 St (C,E)",14,24957.0,40.762455,-73.985985
162,"50 St (C,E)",15,31427.0,40.762455,-73.985985
162,"50 St (C,E)",16,39162.0,40.762455,-73.985985
162,"50 St (C,E)",17,20532.0,40.762455,-73.985985
162,"50 St (C,E)",18,25010.0,40.762455,-73.985985
162,"50 St (C,E)",19,25149.0,40.762455,-73.985985
162,"50 St (C,E)",20,21015.0,40.762455,-73.985985
162,"50 St (C,E)",21,25079.0,40.762455,-73.985985
164,"34 St-Penn Station (A,C,E)",10,20377.0,40.75229,-73.99339
164,"34 St-Penn Station (A,C,E)",11,17230.0,40.75229,-73.99339
164,"34 St-Penn Station (A,C,E)",12,17189.0,40.75229,-73.99339
164,"34 St-Penn Station (A,C,E)",13,19151.0,40.75229,-73.99339
164,"34 St-Penn Station (A,C,E)",14,20001.0,40.75229,-73.99339
164,"34 St-Penn Station (A,C,E)",15,24863.0,40.75229,-73.99339
164,"34 St-Penn Station (A,C,E)",16,31525.0,40.75229,-73.99339
164,"34 St-Penn Station (A,C,E)",17,42121.0,40.75229,-73.99339
164,"34 St-Penn Station (A,C,E)",18,33577.0,40.75229,-73.99339
164,"34 St-Penn Station (A,C,E)",19,21514.0,40.75229,-73.99339
164,"34 St-Penn Station (A,C,E)",20,16481.0,40.75229,-73.99339
164,"34 St-Penn Station (A,C,E)",21,12781.0,40.75229,-73.99339
165,"23 St (C,E)",10,12940.0,40.745907,-73.99804
165,"23 St (C,E)",11,12915.0,40.745907,-73.99804
165,"23 St (C,E)",12,15489.0,40.745907,-73.99804
165,"23 St (C,E)",13,17585.0,40.745907,-73.99804000000002
165,"23 St (C,E)",14,22076.0,40.745907,-73.99804
165,"23 St (C,E)",15,37515.0,40.745907,-73.99804
165,"23 St (C,E)",16,34520.0,40.745907,-73.99804
165,"23 St (C,E)",17,19246.0,40.745907,-73.99804
165,"23 St (C,E)",18,15439.0,40.745907,-73.99804
165,"23 St (C,E)",19,22339.0,40.745907,-73.99804
165,"23 St (C,E)",20,20456.0,40.745907,-73.99804
165,"23 St (C,E)",21,16868.0,40.745907,-73.99804
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",10,20585.0,40.732338,-74.000496
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",11,22423.0,40.732338,-74.000496
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",12,25232.0,40.732338,-74.000496
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",13,23163.0,40.732338,-74.000496
